Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,Charlie Ward,PG,30,NYK,5,0,86,8,27,0.296,3,12,0.25,5,15,0.333,0.352,6,6,1,2,5,7,7,2,0,8,8,25
2001,Chris Webber,PF,27,SAC,8,8,348,76,196,0.388,0,1,0,76,195,0.39,0.388,34,49,0.694,34,58,92,25,9,8,31,29,186
2001,David Wesley,SG,30,CHH,10,10,394,63,134,0.47,13,33,0.394,50,101,0.495,0.519,31,41,0.756,4,26,30,39,16,1,14,28,170
2001,Alvin Williams,SG,26,TOR,12,12,486,69,160,0.431,10,28,0.357,59,132,0.447,0.463,17,25,0.68,6,29,35,50,15,8,16,34,165
2001,Jason Williams,PG,25,SAC,8,8,191,26,61,0.426,11,30,0.367,15,31,0.484,0.516,7,7,1,0,18,18,23,8,0,21,14,70
2001,Jerome Williams,PF,27,TOR,11,0,164,12,24,0.5,0,0,,12,24,0.5,0.5,11,22,0.5,20,25,45,9,10,6,6,23,35
2001,Monty Williams,SF,29,ORL,3,0,14,3,4,0.75,0,0,,3,4,0.75,0.75,1,3,0.333,4,2,6,0,0,2,1,2,7
2001,Scott Williams,C,32,MIL,17,17,378,59,120,0.492,0,0,,59,120,0.492,0.492,16,28,0.571,45,77,122,12,11,24,12,57,134
2001,Wang Zhizhi,C,23,DAL,5,0,23,3,8,0.375,1,2,0.5,2,6,0.333,0.438,3,3,1,0,2,2,1,1,1,1,1,10
2002,Victor Alexander,C,32,DET,1,0,3,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0
2002,Derek Anderson,SG,27,POR,3,0,76,13,30,0.433,2,6,0.333,11,24,0.458,0.467,16,18,0.889,3,4,7,7,2,0,6,1,44
2002,Kenny Anderson,PG,31,BOS,16,16,560,82,197,0.416,0,0,,82,197,0.416,0.416,28,35,0.8,13,37,50,76,21,0,28,58,192
2002,Darrell Armstrong,PG,33,ORL,4,4,158,20,42,0.476,4,17,0.235,16,25,0.64,0.524,17,21,0.81,3,8,11,13,5,0,7,14,61
2002,Chucky Atkins,PG,27,DET,10,10,294,43,118,0.364,14,39,0.359,29,79,0.367,0.424,13,17,0.765,5,19,24,34,6,1,14,25,113
2002,Stacey Augmon,SG,33,CHH,9,0,152,16,41,0.39,0,0,,16,41,0.39,0.39,16,21,0.762,7,20,27,13,10,1,12,21,48
2002,Vin Baker,C,30,SEA,5,4,144,29,58,0.5,1,1,1,28,57,0.491,0.509,7,9,0.778,11,14,25,4,3,6,4,23,66
2002,Dana Barros,PG,34,DET,4,0,6,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,0,0,0,1,0,0,0,2,2
2002,Brent Barry,SG,30,SEA,5,5,149,14,34,0.412,7,16,0.438,7,18,0.389,0.515,4,4,1,6,17,23,14,3,4,9,12,39
2002,Jon Barry,SG,32,DET,10,0,177,29,61,0.475,17,38,0.447,12,23,0.522,0.615,5,8,0.625,4,16,20,21,5,1,19,14,80
2002,Tony Battie,C,25,BOS,16,16,443,42,86,0.488,0,0,,42,86,0.488,0.488,13,21,0.619,39,82,121,13,10,30,11,51,97
2002,Raja Bell,SG,25,PHI,3,0,8,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,1,0,1,0,0,0,0,0,2
2002,Jonathan Bender,SF,21,IND,5,0,45,3,6,0.5,0,1,0,3,5,0.6,0.5,0,0,,0,4,4,2,2,3,5,6,6
2002,Mike Bibby,PG,23,SAC,16,16,661,114,257,0.444,25,59,0.424,89,198,0.449,0.492,71,86,0.826,14,46,60,80,23,3,37,30,324
2002,Chauncey Billups,PG,25,MIN,3,3,134,23,51,0.451,6,15,0.4,17,36,0.472,0.51,14,20,0.7,1,14,15,17,3,1,9,14,66
2002,Corie Blount,PF,33,PHI,5,0,88,2,8,0.25,0,0,,2,8,0.25,0.25,3,4,0.75,10,4,14,2,2,2,4,9,7
2002,Mark Blount,C,26,BOS,4,0,39,2,4,0.5,0,0,,2,4,0.5,0.5,2,2,1,3,4,7,1,2,2,1,7,6
2002,Bruce Bowen,SF,30,SAS,10,10,345,25,61,0.41,11,25,0.44,14,36,0.389,0.5,7,14,0.5,9,24,33,14,11,7,7,28,68
2002,Michael Bradley,PF,22,TOR,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,1,0
